NAICS Code,Industry Name,Importance
236220,Commercial and Institutional Building Construction,0.1155
112210,Hog and Pig Farming,0.1151
311611,Animal (except Poultry) Slaughtering,0.1135
311421,Fruit and Vegetable Canning,0.1064
311111,Dog and Cat Food Manufacturing,0.101
311513,Cheese Manufacturing,0.0906
311520,Ice Cream and Frozen Dessert Manufacturing,0.0867
311991,Perishable Prepared Food Manufacturing,0.0793
112111,Beef Cattle Ranching and Farming,0.0751
311999,All Other Miscellaneous Food Manufacturing,0.0636
311812,Commercial Bakeries,0.0575
111199,All Other Grain Farming,0.0542
112910,Apiculture,0.052
112120,Dairy Cattle and Milk Production,0.0503
311811,Retail Bakeries,0.0465
311920,Coffee and Tea Manufacturing,0.0463
311340,Nonchocolate Confectionery Manufacturing,0.0301
237310,"Highway, Street, and Bridge Construction",0.0296
311313,Beet Sugar Manufacturing,0.018
311211,Flour Milling,0.0171
