NAICS Code,Industry Name,Importance
311812,Commercial Bakeries,0.1455
311211,Flour Milling,0.1427
112910,Apiculture,0.1301
111199,All Other Grain Farming,0.125
311513,Cheese Manufacturing,0.1101
311520,Ice Cream and Frozen Dessert Manufacturing,0.1065
311999,All Other Miscellaneous Food Manufacturing,0.0906
311811,Retail Bakeries,0.0902
311421,Fruit and Vegetable Canning,0.0792
311991,Perishable Prepared Food Manufacturing,0.0654
311111,Dog and Cat Food Manufacturing,0.0568
311611,Animal (except Poultry) Slaughtering,0.0463
237310,"Highway, Street, and Bridge Construction",0.0444
311313,Beet Sugar Manufacturing,0.0326
112210,Hog and Pig Farming,0.0283
311340,Nonchocolate Confectionery Manufacturing,0.0281
311920,Coffee and Tea Manufacturing,0.0242
112111,Beef Cattle Ranching and Farming,0.0242
112120,Dairy Cattle and Milk Production,0.0097
236220,Commercial and Institutional Building Construction,0.0041
