NAICS Code,Industry Name,Importance
311340,Nonchocolate Confectionery Manufacturing,0.1563
112111,Beef Cattle Ranching and Farming,0.1549
237310,"Highway, Street, and Bridge Construction",0.1521
311812,Commercial Bakeries,0.1448
311520,Ice Cream and Frozen Dessert Manufacturing,0.1326
112120,Dairy Cattle and Milk Production,0.1206
311211,Flour Milling,0.1104
112910,Apiculture,0.0983
311611,Animal (except Poultry) Slaughtering,0.0741
236220,Commercial and Institutional Building Construction,0.0723
311920,Coffee and Tea Manufacturing,0.0602
311421,Fruit and Vegetable Canning,0.0583
111199,All Other Grain Farming,0.0473
311811,Retail Bakeries,0.0448
112210,Hog and Pig Farming,0.0413
311513,Cheese Manufacturing,0.0257
311111,Dog and Cat Food Manufacturing,0.0225
311991,Perishable Prepared Food Manufacturing,0.0156
311313,Beet Sugar Manufacturing,0.0121
311999,All Other Miscellaneous Food Manufacturing,0.0072
